CCTV1,239.253.64.120:5140
CCTV2,239.253.64.195:5140
CCTV3,239.253.64.244:5140
CCTV4,239.253.64.196:5140
CCTV5,239.253.64.245:5140
CCTV5+,239.253.64.100:5140
CCTV6,239.253.64.246:5140
CCTV7,239.253.64.54:5140
CCTV8,239.253.64.247:5140
CCTV9,239.253.64.76:5140
CCTV10,239.253.64.87:5140
CCTV11,239.253.64.70:5140
CCTV12,239.253.64.97:5140
CCTV13,239.253.64.59:5140
CCTV14,239.253.64.115:5140
CCTV15,239.253.64.72:5140
CCTV16,239.253.64.251:5140
CCTV17,239.253.64.67:5140
北京卫视,239.253.64.204:5140
东方卫视,239.253.64.201:5140
东南卫视,239.253.64.66:5140
江苏卫视,239.253.64.202:5140
广东卫视,239.253.64.200:5140
河北卫视,239.253.64.210:5140
贵州卫视,239.253.64.197:5140
湖北卫视,239.253.64.207:5140
湖南卫视,239.253.64.114:5140
山东卫视,239.253.64.208:5140
深圳卫视,239.253.64.203:5140
天津卫视,239.253.64.198:5140
浙江卫视,239.253.64.206:5140
重庆卫视,239.253.64.55:5140
吉林卫视,239.253.64.57:5140
安徽卫视,239.253.64.129:5140
黑龙江卫视,239.253.64.205:5140
江西卫视,239.253.64.56:5140
辽宁卫视,239.253.64.150:5140
甘肃卫视,239.253.64.140:5140
广西卫视,239.253.64.45:5140
河南卫视,239.253.64.38:5140
四川卫视,239.253.64.36:5140
山西卫视,239.253.64.31:5140
陕西卫视,239.253.64.37:5140
内蒙古卫视,239.253.64.144:5140
宁夏卫视,239.253.64.89:5140
青海卫视,239.253.64.46:5140
厦门卫视,239.253.64.179:5140
西藏卫视,239.253.64.143:5140
新疆卫视,239.253.64.146:5140
三沙卫视,239.253.64.112:5140
海南卫视,239.253.64.253:5140
云南卫视,239.253.64.147:5140
兵团卫视,239.253.64.178:5140
山东教育卫视,239.253.64.241:5140
金鹰纪实,239.253.64.168:5140
爱上4K,239.253.64.243:5140
CETV1,239.253.64.169:5140
CETV2,239.253.64.128:5140
CETV4,239.253.64.139:5140
CGTN英语,239.253.64.17:5140
CGTN记录,239.253.64.58:5140
中国天气,239.253.64.79:5140
金鹰卡通,239.253.64.148:5140
卡酷少儿,239.253.64.230:5140
嘉佳卡通,239.253.64.127:5140
海南公共频道,239.253.64.14:5140
海南少儿频道,239.253.64.124:5140
海南文旅频道,239.253.64.122:5140
海南新闻频道,239.253.64.121:5140
海南自贸频道,239.253.64.119:5140
海口1台,239.253.64.80:5140
海口2台,239.253.64.82:5140
海口3台,239.253.64.83:5140
华数谍战剧场,239.253.64.212:5140
华数经典电影,239.253.64.227:5140
华数魅力时尚,239.253.64.231:5140
华数热播剧场,239.253.64.211:5140
华数影视,239.253.64.49:5140
华数喜剧影院,239.253.64.233:5140
华数武侠剧场,239.253.64.254:5140
华数少儿动画,239.253.64.232:5140
华数军旅剧场,239.253.64.228:5140
华数精选,239.253.64.224:5140
华数家庭影院,239.253.64.225:5140
华数古装剧场,239.253.64.221:5140
华数动作影院,239.253.64.220:5140
华数少儿动画,239.253.64.163:5140
华数城市剧场,239.253.64.218:5140
