更新时间: 2026-04-24 15:15:31

吉林联通1,#genre#
CCTV1,http://222.162.70.61:18888/udp/239.253.142.160:3000
CCTV1,http://222.162.70.61:18888/udp/239.253.142.195:3000
CCTV2,http://222.162.70.61:18888/udp/239.253.142.201:3000
CCTV3,http://222.162.70.61:18888/udp/239.253.142.115:3000
CCTV4,http://222.162.70.61:18888/udp/239.253.142.251:3000
CCTV4,http://222.162.70.61:18888/udp/239.253.142.239:3000
CCTV4,http://222.162.70.61:18888/udp/239.253.142.240:3000
CCTV4,http://222.162.70.61:18888/udp/239.253.142.68:3000
CCTV5,http://222.162.70.61:18888/udp/239.253.142.116:3000
CCTV6,http://222.162.70.61:18888/udp/239.253.142.117:3000
CCTV7,http://222.162.70.61:18888/udp/239.253.142.247:3000
CCTV8,http://222.162.70.61:18888/udp/239.253.142.118:3000
CCTV9,http://222.162.70.61:18888/udp/239.253.142.203:3000
CCTV10,http://222.162.70.61:18888/udp/239.253.142.204:3000
CCTV11,http://222.162.70.61:18888/udp/239.253.142.252:3000
CCTV12,http://222.162.70.61:18888/udp/239.253.142.205:3000
CCTV13,http://222.162.70.61:18888/udp/239.253.142.253:3000
CCTV14,http://222.162.70.61:18888/udp/239.253.142.206:3000
CCTV15,http://222.162.70.61:18888/udp/239.253.142.88:3000
CCTV16,http://222.162.70.61:18888/udp/239.253.142.248:3000
CCTV16,http://222.162.70.61:18888/udp/239.253.142.249:3000
CCTV17,http://222.162.70.61:18888/udp/239.253.142.202:3000
东方卫视,http://222.162.70.61:18888/udp/239.253.142.122:3000
北京卫视,http://222.162.70.61:18888/udp/239.253.142.161:3000
北京卫视,http://222.162.70.61:18888/udp/239.253.142.47:3000
江苏卫视,http://222.162.70.61:18888/udp/239.253.142.163:3000
浙江卫视,http://222.162.70.61:18888/udp/239.253.142.125:3000
深圳卫视,http://222.162.70.61:18888/udp/239.253.142.166:3000
湖北卫视,http://222.162.70.61:18888/udp/239.253.142.168:3000
湖南卫视,http://222.162.70.61:18888/udp/239.253.142.162:3000
三沙卫视,http://222.162.70.61:18888/udp/239.253.142.198:3000
东南卫视,http://222.162.70.61:18888/udp/239.253.142.121:3000
云南卫视,http://222.162.70.61:18888/udp/239.253.142.86:3000
兵团卫视,http://222.162.70.61:18888/udp/239.253.142.57:3000
内蒙古卫视,http://222.162.70.61:18888/udp/239.253.142.32:3000
吉林卫视,http://222.162.70.61:18888/udp/239.253.142.19:3000
四川卫视,http://222.162.70.61:18888/udp/239.253.142.123:3000
天津卫视,http://222.162.70.61:18888/udp/239.253.142.169:3000
宁夏卫视,http://222.162.70.61:18888/udp/239.253.142.63:3000
安徽卫视,http://222.162.70.61:18888/udp/239.253.142.131:3000
山东卫视,http://222.162.70.61:18888/udp/239.253.142.167:3000
山西卫视,http://222.162.70.61:18888/udp/239.253.142.50:3000
广东卫视,http://222.162.70.61:18888/udp/239.253.142.164:3000
广西卫视,http://222.162.70.61:18888/udp/239.253.142.106:3000
延边卫视,http://222.162.70.61:18888/udp/239.253.142.101:3000
新疆卫视,http://222.162.70.61:18888/udp/239.253.142.35:3000
江西卫视,http://222.162.70.61:18888/udp/239.253.142.128:3000
河北卫视,http://222.162.70.61:18888/udp/239.253.142.126:3000
河南卫视,http://222.162.70.61:18888/udp/239.253.142.127:3000
海南卫视,http://222.162.70.61:18888/udp/239.253.142.31:3000
甘肃卫视,http://222.162.70.61:18888/udp/239.253.142.179:3000
西藏卫视,http://222.162.70.61:18888/udp/239.253.142.51:3000
贵州卫视,http://222.162.70.61:18888/udp/239.253.142.129:3000
辽宁卫视,http://222.162.70.61:18888/udp/239.253.142.132:3000
重庆卫视,http://222.162.70.61:18888/udp/239.253.142.130:3000
陕西卫视,http://222.162.70.61:18888/udp/239.253.142.34:3000
陕西卫视,http://222.162.70.61:18888/udp/239.253.142.41:3000
青海卫视,http://222.162.70.61:18888/udp/239.253.142.29:3000
黑龙江卫视,http://222.162.70.61:18888/udp/239.253.142.165:3000
北京纪实,http://222.162.70.61:18888/udp/239.253.142.37:3000
吉林乡村,http://222.162.70.61:18888/udp/239.253.142.176:3000
吉林市新闻,http://222.162.70.61:18888/udp/239.253.142.211:3000
吉林市生活,http://222.162.70.61:18888/udp/239.253.142.213:3000
吉林市科教,http://222.162.70.61:18888/udp/239.253.142.212:3000
吉林影视,http://222.162.70.61:18888/udp/239.253.142.174:3000
吉林教育,http://222.162.70.61:18888/udp/239.253.142.104:3000
吉林生活,http://222.162.70.61:18888/udp/239.253.142.175:3000
吉林综艺,http://222.162.70.61:18888/udp/239.253.142.178:3000
吉林都市,http://222.162.70.61:18888/udp/239.253.142.92:3000
CETV1,http://222.162.70.61:18888/udp/239.253.142.14:3000
CETV2,http://222.162.70.61:18888/udp/239.253.142.71:3000
CETV4,http://222.162.70.61:18888/udp/239.253.142.74:3000
CGTN,http://222.162.70.61:18888/udp/239.253.142.241:3000
CGTN俄语,http://222.162.70.61:18888/udp/239.253.142.246:3000
CGTN法语,http://222.162.70.61:18888/udp/239.253.142.244:3000
CGTN纪录,http://222.162.70.61:18888/udp/239.253.142.242:3000
CGTN西语,http://222.162.70.61:18888/udp/239.253.142.243:3000
CGTN阿语,http://222.162.70.61:18888/udp/239.253.142.245:3000
CHC动作电影,http://222.162.70.61:18888/udp/239.253.142.188:3000
CHC家庭影院,http://222.162.70.61:18888/udp/239.253.142.190:3000
CHC影迷电影,http://222.162.70.61:18888/udp/239.253.142.189:3000
东丰,http://222.162.70.61:18888/udp/239.253.142.150:3000
东辽,http://222.162.70.61:18888/udp/239.253.142.149:3000
中国交通,http://222.162.70.61:18888/udp/239.253.142.187:3000
中学生,http://222.162.70.61:18888/udp/239.253.142.55:3000
临江,http://222.162.70.61:18888/udp/239.253.142.157:3000
乐游,http://222.162.70.61:18888/udp/239.253.142.208:3000
书画,http://222.162.70.61:18888/udp/239.253.142.199:3000
乾安,http://222.162.70.61:18888/udp/239.253.142.152:3000
伊通,http://222.162.70.61:18888/udp/239.253.142.142:3000
优优宝贝,http://222.162.70.61:18888/udp/239.253.142.192:3000
优购物,http://222.162.70.61:18888/udp/239.253.142.16:3000
公主岭,http://222.162.70.61:18888/udp/239.253.142.141:3000
农安,http://222.162.70.61:18888/udp/239.253.142.107:3000
前郭,http://222.162.70.61:18888/udp/239.253.142.109:3000
动漫秀场,http://222.162.70.61:18888/udp/239.253.142.232:3000
卡酷少儿,http://222.162.70.61:18888/udp/239.253.142.59:3000
双辽,http://222.162.70.61:18888/udp/239.253.142.140:3000
双阳,http://222.162.70.61:18888/udp/239.253.142.207:3000
发现之旅,http://222.162.70.61:18888/udp/239.253.142.30:3000
哈哈炫动,http://222.162.70.61:18888/udp/239.253.142.62:3000
嘉佳卡通,http://222.162.70.61:18888/udp/239.253.142.64:3000
四平1台,http://222.162.70.61:18888/udp/239.253.142.216:3000
四平2台,http://222.162.70.61:18888/udp/239.253.142.217:3000
国学,http://222.162.70.61:18888/udp/239.253.142.90:3000
图们,http://222.162.70.61:18888/udp/239.253.142.137:3000
大安,http://222.162.70.61:18888/udp/239.253.142.148:3000
央广购物,http://222.162.70.61:18888/udp/239.253.142.56:3000
好享购物,http://222.162.70.61:18888/udp/239.253.142.113:3000
家有购物,http://222.162.70.61:18888/udp/239.253.142.85:3000
延吉,http://222.162.70.61:18888/udp/239.253.142.138:3000
延边1台,http://222.162.70.61:18888/udp/239.253.142.214:3000
延边2台,http://222.162.70.61:18888/udp/239.253.142.215:3000
快乐垂钓,http://222.162.70.61:18888/udp/239.253.142.234:3000
扶余,http://222.162.70.61:18888/udp/239.253.142.151:3000
抚松,http://222.162.70.61:18888/udp/239.253.142.158:3000
敦化,http://222.162.70.61:18888/udp/239.253.142.89:3000
文化精品,http://222.162.70.61:18888/udp/239.253.142.80:3000
文物宝库,http://222.162.70.61:18888/udp/239.253.142.60:3000
新动漫,http://222.162.70.61:18888/udp/239.253.142.238:3000
